Dress_CODE,Style,Price,Rating,Size,Season,NeckLine,SleeveLength,waiseline,Material,FabricType,Decoration,Pattern Type,Recommendation
100400,Sexy,Low,4.6,M,Summer,o-neck,sleevless,empire,null,chiffon,ruffles,animal,1
100401,Casual,Low,0,L,Summer,o-neck,Petal,natural,microfiber,null,ruffles,animal,0
100402,vintage,High,0,L,Automn,o-neck,full,natural,polyster,null,null,print,0
100404,cute,Low,4.5,M,Summer,o-neck,butterfly,natural,chiffonfabric,chiffon,bow,dot,0
100405,bohemian,Low,0,M,Summer,v-neck,sleevless,empire,null,null,null,print,0
100406,Casual,Average,0,XL,Summer,o-neck,full,null,cotton,null,null,solid,0
100407,Novelty,Average,0,free,Automn,o-neck,short,natural,polyster,broadcloth,lace,null,0
100408,Flare,Average,0,free,Spring,v-neck,short,empire,cotton,broadcloth,beading,solid,1
100410,party,Average,5,free,Summer,o-neck,full,natural,polyster,broadcloth,lace,solid,0
100411,Flare,Average,0,free,Spring,v-neck,short,null,nylon,null,null,animal,0
100412,sexy,Low,4.7,M,Winter,o-neck,threequarter,null,null,chiffon,lace,print,1
100413,vintage,Average,4.8,M,Summer,o-neck,short,empire,cotton,jersey,null,animal,1
100414,Casual,Low,5,M,Summer,boat-neck,short,null,cotton,null,sashes,solid,0
100415,Casual,Low,0,free,Winter,boat-neck,full,null,other,other,lace,null,0
100416,cute,Average,4.7,L,spring,o-neck,short,null,cotton,null,sashes,solid,1
100417,bohemian,Medium,5,free,Automn,o-neck,full,natural,null,null,hollowout,patchwork,1
100418,Brief,Average,0,M,Winter,peterpan-collor,threequarter,natural,cotton,null,null,patchwork,0
100419,Sexy,Average,5,M,Automn,o-neck,sleevless,empire,milksilk,null,null,null,1
100420,Sexy,Average,4.5,L,Automn,o-neck,full,null,cotton,null,beading,solid,0
100421,Casual,Low,4.3,M,Summer,o-neck,sleevless,natural,null,chiffon,null,solid,0
100422,Brief,Low,4,XL,Summer,v-neck,short,natural,cotton,null,pockets,solid,0
100423,Sexy,Average,4.7,S,Summer,v-neck,sleevless,empire,cotton,null,sequined,solid,1
100424,Sexy,Average,0,free,Automn,v-neck,sleevless,natural,polyster,null,lace,patchwork,0
100425,Sexy,Average,0,M,Automn,o-neck,sleevless,empire,cotton,broadcloth,null,print,0
100426,Sexy,Average,4.7,M,Spring,o-neck,sleevless,natural,null,null,null,solid,1
100427,Casual,Low,0,L,Summer,o-neck,sleevless,natural,cotton,jersey,null,print,0
